Order No,Product Name,Retail Price,Order Quantity,Sub Total,Expected Sub Total,Difference,Passes Audit
4293-1,UGen Ultra Professional Cordless Optical Suite,$300.97,23.0,"$4,533.52",$6922.31,$-2388.79,False
5001-1,Bagged Rubber Bands,$1.26,8.0,$45.20,$10.08,$35.12,False
5004-1,TechSavi Cordless Navigator Duo,$80.98,45.0,$873.32,$3644.10,$-2770.78,False
5009-1,Artisan Printable Repositionable Plastic Tabs,$8.60,16.0,$73.52,$137.60,$-64.08,False
5010-1,Pizazz Drawing Pencil Set,$2.78,49.0,$138.46,$136.22,$2.24,False
5011-1,"Alto Parchment Paper, Assorted Colors",$7.28,45.0,$197.36,$327.60,$-130.24,False
5012-1,Smiths Metal Binder Clips,$2.62,45.0,$65.50,$117.90,$-52.40,False
5012-1,Smiths Metal Binder Clips,$2.62,34.0,$24.92,$89.08,$-64.16,False
5014-1,Artisan Hole Reinforcements,$6.23,25.0,$194.36,$155.75,$38.61,False
5015-1,UGen Ultra Professional Cordless Optical Suite,$300.97,42.0,"$1,079.62",$12640.74,$-11561.12,False
5015-1,UGen Ultra Professional Cordless Optical Suite,$300.97,3.0,"$1,602.02",$902.91,$699.11,False
5016-1,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",$4.26,18.0,$123.54,$76.68,$46.86,False
5018-1,TypeRight Side-Opening Peel & Seel Expanding Envelopes,$90.48,1.0,"$1,029.50",$90.48,$939.02,False
5019-1,Artisan 487 Labels,$3.69,34.0,$205.60,$125.46,$80.14,False
5019-1,Cando CCalored Accent Highlighters,$7.08,33.0,$725.82,$233.64,$492.18,False
5019-1,Cando S750 Color Inkjet Printer,$120.97,27.0,$725.82,$3266.19,$-2540.37,False
5020-1,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",$2.10,49.0,$35.70,$102.90,$-67.20,False
5021-1,TechSavi Access Keyboard,$15.98,24.0,$139.20,$383.52,$-244.32,False
5021-1,Artisan 479 Labels,$2.61,22.0,$23.60,$57.42,$-33.82,False
5021-1,Smiths Pushpins,$1.88,24.0,$25.80,$45.12,$-19.32,False
5022-1,UGen Ultra Professional Cordless Optical Suite,$300.97,49.0,$723.84,$14747.53,$-14023.69,False
5023-1,12 Colored Short Pencils,$2.60,8.0,$122.20,$20.80,$101.40,False
5023-1,12 Colored Short Pencils,$2.60,21.0,$122.20,$54.60,$67.60,False
5023-1,12 Colored Short Pencils,$2.60,37.0,$122.20,$96.20,$26.00,False
5023-1,1726 Digital Answering Machine,$20.99,24.0,$122.20,$503.76,$-381.56,False
5023-1,1726 Digital Answering Machine,$20.99,29.0,$122.20,$608.71,$-486.51,False
5024-1,"Angle-D Binders with Locking Rings, Label Holders",$7.30,14.0,$285.14,$102.20,$182.94,False
5024-1,3Max Organizer Strips,$5.40,42.0,$146.60,$226.80,$-80.20,False
5024-1,Multimedia Mailers,$162.93,48.0,"$5,213.76",$7820.64,$-2606.88,False
5024-1,Multimedia Mailers,$162.93,40.0,"$4,099.50",$6517.20,$-2417.70,False
5024-1,Smiths SlimLine Pencil Sharpener,$11.97,41.0,$242.08,$490.77,$-248.69,False
5024-1,"DrawIt Colored Pencils, 48-Color Set",$36.55,22.0,$85.28,$804.10,$-718.82,False
5024-1,Multimedia Mailers,$162.93,47.0,"$5,213.76",$7657.71,$-2443.95,False
5024-1,Multimedia Mailers,$162.93,50.0,"$5,213.76",$8146.50,$-2932.74,False
5024-1,Artisan Binder Labels,$3.89,8.0,$66.36,$31.12,$35.24,False
5025-1,Pizazz Dustless Chalk Sticks,$1.68,1.0,$55.44,$1.68,$53.76,False
5025-1,Pizazz Dustless Chalk Sticks,$1.68,34.0,$55.44,$57.12,$-1.68,False
5025-1,Pizazz Dustless Chalk Sticks,$1.68,18.0,$55.44,$30.24,$25.20,False
5025-1,TechSavi Cordless Elite Duo,$100.98,14.0,"$4,533.86",$1413.72,$3120.14,False
5025-1,Pizazz Dustless Chalk Sticks,$1.68,29.0,$55.44,$48.72,$6.72,False
5025-1,Pizazz Dustless Chalk Sticks,$1.68,39.0,$55.44,$65.52,$-10.08,False
5025-1,1726 Digital Answering Machine,$20.99,16.0,$49.36,$335.84,$-286.48,False
5025-1,"Alto Parchment Paper, Assorted Colors",$7.28,19.0,$533.72,$138.32,$395.40,False
5025-1,UGen Ultra Professional Cordless Optical Suite,$300.97,4.0,"$4,759.68",$1203.88,$3555.80,False
5025-1,Smiths General Use 3-Ring Binders,$1.88,39.0,$35.70,$73.32,$-37.62,False
5026-1,Binder Clips by OIC,$1.48,16.0,$25.06,$23.68,$1.38,False
5026-1,Artisan 479 Labels,$2.61,41.0,$23.29,$107.01,$-83.72,False
5027-1,Artisan Binder Labels,$3.89,29.0,$542.12,$112.81,$429.31,False
5027-1,Artisan 479 Labels,$2.61,45.0,$127.29,$117.45,$9.84,False
5027-1,Apex Straight Scissors,$12.98,10.0,$530.60,$129.80,$400.80,False
5027-1,Emerson Stylus 1520 Color Inkjet Printer,$120.97,31.0,$929.96,$3750.07,$-2820.11,False
5027-1,TechSavi Access Keyboard,$15.98,4.0,$799.42,$63.92,$735.50,False
5027-1,UGen Ultra Professional Cordless Optical Suite,$300.97,9.0,"$5,799.50",$2708.73,$3090.77,False
5027-1,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",$35.94,11.0,$723.84,$395.34,$328.50,False
5028-1,Artisan Hi-Liter Smear-Safe Highlighters,$5.84,7.0,$34.46,$40.88,$-6.42,False
5028-1,Artisan 474 Labels,$2.88,17.0,$26.62,$48.96,$-22.34,False
5029-1,Artisan Printable Repositionable Plastic Tabs,$8.60,22.0,$412.80,$189.20,$223.60,False
5029-1,Artisan 479 Labels,$2.61,7.0,$209.90,$18.27,$191.63,False
5029-1,Artisan Printable Repositionable Plastic Tabs,$8.60,13.0,$412.80,$111.80,$301.00,False
5029-1,TypeRight Side-Opening Peel & Seel Expanding Envelopes,$90.48,40.0,"$4,564.22",$3619.20,$945.02,False
5029-1,Artisan Printable Repositionable Plastic Tabs,$8.60,19.0,$412.80,$163.40,$249.40,False
5032-1,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",$27.18,32.0,$632.36,$869.76,$-237.40,False
5032-1,Artisan 474 Labels,$2.88,22.0,$127.92,$63.36,$64.56,False
5033-1,TypeRight Side-Opening Peel & Seel Expanding Envelopes,$90.48,42.0,$271.44,$3800.16,$-3528.72,False
5034-1,Artisan 474 Labels,$2.88,32.0,$201.90,$92.16,$109.74,False
5034-1,Ames Color-File Green Diamond Border X-ray Mailers,$83.98,22.0,"$2,752.32",$1847.56,$904.76,False
5034-1,Artisan 474 Labels,$2.88,45.0,$68.96,$129.60,$-60.64,False
5034-1,Alto Memo Cubes,$5.18,37.0,$91.06,$191.66,$-100.60,False
5034-1,Alto Memo Cubes,$5.18,35.0,$76.00,$181.30,$-105.30,False
5034-1,Apex Straight Scissors,$12.98,16.0,$225.32,$207.68,$17.64,False
